area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate
Carlow,2018,1,2018Q1,7.174631139,1.215277778,855.0827136,774.45,29.358333333333334,27.108333333333334,29.141666666666666,250.0,35.0,7.0,0.14,0.028
Carlow,2018,2,2018Q2,5.710049803,1.215277778,855.0827136,774.45,29.28333333333333,29.025000000000002,30.066666666666666,250.0,32.0,7.0,0.128,0.028
Carlow,2018,3,2018Q3,7.238178923,1.215277778,855.0827136,774.45,29.058333333333334,28.40833333333333,29.708333333333332,252.0,28.0,7.0,0.1111111111111111,0.027777777777777776
Carlow,2018,4,2018Q4,6.610301839,1.215277778,855.0827136,774.45,27.983333333333334,27.691666666666666,28.808333333333334,250.0,25.0,6.0,0.1,0.024
Carlow,2019,1,2019Q1,6.498452097,1.886792453,855.0827136,826.31,26.150000000000002,26.8,27.441666666666666,248.0,21.0,4.0,0.0846774193548387,0.016129032258064516
Carlow,2019,2,2019Q2,7.742269305,1.886792453,855.0827136,826.31,26.208333333333332,27.041666666666668,27.599999999999998,253.0,25.0,6.0,0.09881422924901186,0.023715415019762844
Carlow,2019,3,2019Q3,7.242535976,1.886792453,855.0827136,826.31,26.808333333333334,27.325,28.041666666666668,252.0,29.0,7.0,0.11507936507936507,0.027777777777777776
Carlow,2019,4,2019Q4,6.425215942,1.886792453,855.0827136,826.31,25.741666666666664,26.525000000000002,27.150000000000002,255.0,30.0,7.0,0.11764705882352941,0.027450980392156862
Carlow,2020,1,2020Q1,6.721889229,1.01010101,855.0827136,870.88,26.28333333333333,25.658333333333335,26.933333333333334,258.0,29.0,8.0,0.1124031007751938,0.031007751937984496
Carlow,2020,2,2020Q2,5.798273661,1.01010101,855.0827136,870.88,25.900000000000002,25.90833333333333,26.891666666666666,253.0,29.0,8.0,0.11462450592885376,0.03162055335968379
Carlow,2020,3,2020Q3,4.359816152,1.01010101,855.0827136,870.88,25.558333333333334,26.09166666666667,26.833333333333332,254.0,29.0,7.0,0.1141732283464567,0.027559055118110236
Carlow,2020,4,2020Q4,4.53984527,1.01010101,855.0827136,870.88,26.675,27.133333333333336,27.925,253.0,31.0,7.0,0.1225296442687747,0.02766798418972332
Carlow,2021,1,2021Q1,5.065564287,1.333333333,339.1182084,926.86,27.575,28.183333333333334,28.933333333333334,251.0,31.0,6.0,0.12350597609561753,0.02390438247011952
Carlow,2021,2,2021Q2,5.183061578,1.333333333,390.5388285,926.86,29.625,29.5,30.608333333333334,248.0,24.0,6.0,0.0967741935483871,0.024193548387096774
Carlow,2021,3,2021Q3,6.141825961,1.333333333,365.258326,926.86,32.733333333333334,33.30833333333333,34.166666666666664,247.0,24.0,6.0,0.09716599190283401,0.024291497975708502
Carlow,2021,4,2021Q4,6.609384577,1.333333333,493.8880232,926.86,33.833333333333336,35.36666666666667,35.84166666666667,252.0,21.0,7.0,0.08333333333333333,0.027777777777777776
Carlow,2022,1,2022Q1,7.035273874,2.138157895,484.4713291,1015.12,33.975,36.175000000000004,36.4,251.0,22.0,6.0,0.08764940239043825,0.02390438247011952
Carlow,2022,2,2022Q2,8.31308061,2.138157895,596.4166762,1015.12,34.050000000000004,36.458333333333336,36.6,261.0,25.0,6.0,0.09578544061302682,0.022988505747126436
Carlow,2022,3,2022Q3,10.02953032,2.138157895,581.0217488,1015.12,34.958333333333336,36.75833333333333,37.225,254.0,29.0,7.0,0.1141732283464567,0.027559055118110236
Carlow,2022,4,2022Q4,10.9321267,2.138157895,647.5637824,1015.12,33.59166666666667,35.983333333333334,36.199999999999996,265.0,20.0,5.0,0.07547169811320754,0.018867924528301886
Carlow,2023,1,2023Q1,8.471942384,1.93236715,580.3575007,1101.96,31.183333333333334,34.75833333333333,34.43333333333333,265.0,25.0,5.0,0.09433962264150944,0.018867924528301886
Carlow,2023,2,2023Q2,8.637574182,1.93236715,567.2679052,1101.96,30.141666666666666,34.55833333333334,33.858333333333334,263.0,21.0,5.0,0.07984790874524715,0.019011406844106463
Carlow,2023,3,2023Q3,8.490381225,1.93236715,658.6215601,1101.96,31.133333333333336,35.199999999999996,34.666666666666664,264.0,18.0,4.0,0.06818181818181818,0.015151515151515152
Carlow,2023,4,2023Q4,8.063881451,1.93236715,725.7496949,1101.96,33.375,36.725,36.55833333333333,265.0,20.0,4.0,0.07547169811320754,0.01509433962264151
Carlow,2024,1,2024Q1,8.955371346,1.421800948,511.002181,1207.66,35.225,37.55833333333333,37.85,265.0,20.0,4.0,,
Carlow,2024,2,2024Q2,8.316604254,1.421800948,530.4998174,1207.66,35.875,38.53333333333333,38.708333333333336,265.0,20.0,4.0,,
Carlow,2024,3,2024Q3,9.018598772,1.421800948,694.4518858,1207.66,38.06666666666667,40.075,40.55,265.0,20.0,4.0,,
Carlow,2024,4,2024Q4,9.655846174,1.421800948,618.1805708,1207.66,38.041666666666664,41.075,41.166666666666664,265.0,20.0,4.0,,
Carlow,2025,1,2025Q1,9.545054726,2.180685358,523.857336,1207.66,37.0,41.025,40.666666666666664,265.0,20.0,4.0,,
