"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","286636"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Industry (B to E)","Euro","328483"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","323822"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","320168"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","146040"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Construction (F)","Euro","137832"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","149729"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","140173"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","137500"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","156304"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","150324"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","166638"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","110826"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Education (P)","Euro","111030"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","150243"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","140731"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","157711"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","148946"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","All NACE economic sectors","Euro","148600"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Construction (F)","Euro","137955"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","151230"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Transportation and storage (H)","Euro","141963"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","138622"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Information and communication (J)","Euro","157416"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","154430"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","171997"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","110203"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Education (P)","Euro","113909"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","160470"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Industry (B to E)","Euro","140404"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","163355"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","154981"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","All NACE economic sectors","Euro","139975"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Construction (F)","Euro","135934"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","145825"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Transportation and storage (H)","Euro","130791"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro","134418"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Information and communication (J)","Euro","153545"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","141731"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","155789"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","112412"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Education (P)","Euro","107593"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","138484"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Industry (B to E)","Euro","141940"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","145402"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","134241"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","151829"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Construction (F)","Euro","144618"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","153245"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","148330"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","145481"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","162794"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","154190"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","172578"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","114914"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Education (P)","Euro","115392"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","162800"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","145081"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","163197"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","149725"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","All NACE economic sectors","Euro","154174"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Construction (F)","Euro","145130"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","154840"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Transportation and storage (H)","Euro","150224"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","148508"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Information and communication (J)","Euro","163326"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","158470"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","176991"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","114292"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Education (P)","Euro","118120"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","174544"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Industry (B to E)","Euro","144569"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","168650"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","154715"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","All NACE economic sectors","Euro","146399"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Construction (F)","Euro","137517"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","149125"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Transportation and storage (H)","Euro","138177"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro","137921"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Information and communication (J)","Euro","161492"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","145312"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","162986"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","116546"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Education (P)","Euro","112235"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","149783"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Industry (B to E)","Euro","146851"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","151681"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","137507"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","160512"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Construction (F)","Euro","151471"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","160209"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","157108"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","149337"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","177004"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","162449"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","180027"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","119807"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Education (P)","Euro","120092"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","174931"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","152418"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","168958"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","165343"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","All NACE economic sectors","Euro","162995"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Construction (F)","Euro","151456"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","161979"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Transportation and storage (H)","Euro","158585"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","149931"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Information and communication (J)","Euro","178314"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","166542"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","184691"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","119284"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Education (P)","Euro","122478"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","187700"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Industry (B to E)","Euro","151369"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","174193"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","170644"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","All NACE economic sectors","Euro","154881"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Construction (F)","Euro","151657"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","155840"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Transportation and storage (H)","Euro","149601"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro","147849"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Information and communication (J)","Euro","173773"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","154015"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","169950"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","121139"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Education (P)","Euro","117441"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","161094"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Industry (B to E)","Euro","155824"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","157955"
"Employments in Top 10% of Earnings - Mean Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","152613"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","119716"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Construction (F)","Euro","114732"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","123159"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","121278"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","114798"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","130470"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","124203"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","130672"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","103364"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Education (P)","Euro","102432"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","121349"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","117237"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","126473"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","122647"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","All NACE economic sectors","Euro","121426"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Construction (F)","Euro","114773"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","124528"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Transportation and storage (H)","Euro","122108"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","115348"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Information and communication (J)","Euro","131546"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","126359"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","134548"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","103118"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Education (P)","Euro","104612"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","135963"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Industry (B to E)","Euro","117023"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","130398"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","125633"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","All NACE economic sectors","Euro","115950"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Construction (F)","Euro","114115"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","120061"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Transportation and storage (H)","Euro","117516"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro","112956"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Information and communication (J)","Euro","127818"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","120445"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","125321"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","103773"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Education (P)","Euro","100675"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","111755"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Industry (B to E)","Euro","118129"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","119623"
"Employments in Top 10% of Earnings - Median Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","114970"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","124685"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Construction (F)","Euro","120000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","126896"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","127753"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","123041"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","136564"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","128660"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","135604"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","107424"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Education (P)","Euro","106595"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","126973"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","122075"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","131528"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","124694"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","All NACE economic sectors","Euro","126408"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Construction (F)","Euro","120258"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","128197"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Transportation and storage (H)","Euro","129599"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","125000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Information and communication (J)","Euro","137472"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","131067"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","137933"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","107428"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Education (P)","Euro","108345"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","142746"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Industry (B to E)","Euro","121782"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","135165"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","127768"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","All NACE economic sectors","Euro","121250"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Construction (F)","Euro","117020"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","123307"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Transportation and storage (H)","Euro","120608"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro","119702"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Information and communication (J)","Euro","134500"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","124487"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","130899"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","107158"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Education (P)","Euro","105376"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","116495"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Industry (B to E)","Euro","122959"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","125513"
"Employments in Top 10% of Earnings - Median Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","119773"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","130600"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Construction (F)","Euro","125476"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","131925"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","135796"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","125585"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","147619"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","133827"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","141652"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","111971"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Education (P)","Euro","111273"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","131169"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","126899"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","137450"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","132330"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","All NACE economic sectors","Euro","132452"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Construction (F)","Euro","125458"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","133516"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Transportation and storage (H)","Euro","137042"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","125800"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Information and communication (J)","Euro","148583"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","136000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","144010"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","112126"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Education (P)","Euro","113093"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","145000"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Industry (B to E)","Euro","126522"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","140415"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","135577"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","All NACE economic sectors","Euro","126651"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Construction (F)","Euro","125519"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","128418"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Transportation and storage (H)","Euro","130205"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro","125161"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Information and communication (J)","Euro","145519"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","129992"
"Employments in Top 10% of Earnings - Median Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","136780"
