"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","366381"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","264738"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Education (P)","Euro","297156"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","284642"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","336717"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","354770"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","343196"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","All NACE economic sectors","Euro","339365"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Construction (F)","Euro","357767"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","345774"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Transportation and storage (H)","Euro","321042"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","365233"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Information and communication (J)","Euro","335265"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","351985"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","372205"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","269606"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Education (P)","Euro","302945"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","290567"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Industry (B to E)","Euro","336290"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","357977"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","351071"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","All NACE economic sectors","Euro","328625"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","339629"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Transportation and storage (H)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Information and communication (J)","Euro","342988"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","339631"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","350632"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","256282"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Education (P)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","274638"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Industry (B to E)","Euro","338136"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","344463"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","313913"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","361126"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Construction (F)","Euro","394338"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","368250"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","347601"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","339593"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","366521"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","381370"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","386901"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","280892"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Education (P)","Euro","315068"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","303764"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","367483"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","381024"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","395958"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","All NACE economic sectors","Euro","365311"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Construction (F)","Euro","394641"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","366789"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Transportation and storage (H)","Euro","347271"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","340388"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Information and communication (J)","Euro","367934"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","385943"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","388836"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","286674"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Education (P)","Euro","316763"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","308472"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Industry (B to E)","Euro","368065"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","384997"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","400139"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","All NACE economic sectors","Euro","350124"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","372516"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Transportation and storage (H)","Euro","350093"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Information and communication (J)","Euro","362727"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","368331"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","380998"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","271643"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Education (P)","Euro","312018"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Human health and social work activities (Q)","Euro","296165"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Industry (B to E)","Euro","365911"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Financial, insurance and real estate activities (K,L)","Euro","368602"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2024","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","380177"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","283461"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Construction (F)","Euro","295878"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","288260"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","273937"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","286904"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","285188"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","291498"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","304071"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","239002"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Education (P)","Euro","260546"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","249192"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","284347"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","299898"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","289420"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","All NACE economic sectors","Euro","285672"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Construction (F)","Euro","297220"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","288207"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Transportation and storage (H)","Euro","273744"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","287227"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Information and communication (J)","Euro","285046"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","294574"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","311295"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","236820"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Education (P)","Euro","267131"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","252018"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Industry (B to E)","Euro","284016"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","302119"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","299660"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","All NACE economic sectors","Euro","277613"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","288565"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Transportation and storage (H)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Information and communication (J)","Euro","285274"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","282443"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","286651"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","240130"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Education (P)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","243245"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Industry (B to E)","Euro","285275"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","292176"
"Employments in Top 1% of Earnings - Median Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","269108"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","293763"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Construction (F)","Euro","317465"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","301303"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","270110"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","287566"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","296466"
