"","HCB, spending over 25% of disposable household income","HCB, spending over 40% of disposable household income","HCB, spending over 50% of disposable household income"
"Tenant, market","58.1","19.3","11.8"
"Tenant, reduced","29.7","7.4","2.6"
"Mortgage","4.2","0.9","0.4"
"No mortgage","3.1","1.3","1.0"
