"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Clare","Thousand","3.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Cork","Thousand","14.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Cavan","Thousand","1.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Carlow","Thousand","1.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Donegal","Thousand","4.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Dublin","Thousand","32.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Galway","Thousand","6.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Kildare","Thousand","4.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Kilkenny","Thousand","2.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Kerry","Thousand","4.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Longford","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Louth","Thousand","3.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Limerick","Thousand","5.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Leitrim","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Laois","Thousand","1.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Meath","Thousand","3.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Monaghan","Thousand","1.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Mayo","Thousand","4.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Offaly","Thousand","1.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Roscommon","Thousand","2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Sligo","Thousand","2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Tipperary","Thousand","4.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Waterford","Thousand","3.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Wicklow","Thousand","3.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Westmeath","Thousand","2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Both sexes","Co. Wexford","Thousand","4.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Ireland","Thousand","57.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Clare","Thousand","1.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Cork","Thousand","6.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Cavan","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Carlow","Thousand","0.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Donegal","Thousand","2.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Dublin","Thousand","14.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Galway","Thousand","3.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Kildare","Thousand","2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Kilkenny","Thousand","1.3"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Kerry","Thousand","2.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Longford","Thousand","0.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Louth","Thousand","1.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Limerick","Thousand","2.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Leitrim","Thousand","0.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Laois","Thousand","0.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Meath","Thousand","1.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Monaghan","Thousand","0.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Mayo","Thousand","2.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Offaly","Thousand","0.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Roscommon","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Sligo","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Tipperary","Thousand","2.3"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Waterford","Thousand","1.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Wicklow","Thousand","1.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Westmeath","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Male","Co. Wexford","Thousand","2.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Ireland","Thousand","64.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Clare","Thousand","1.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Cork","Thousand","7.6"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Cavan","Thousand","0.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Carlow","Thousand","0.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Donegal","Thousand","2.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Dublin","Thousand","17.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Galway","Thousand","3.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Kildare","Thousand","2.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Kilkenny","Thousand","1.4"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Kerry","Thousand","2.3"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Longford","Thousand","0.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Louth","Thousand","1.7"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Limerick","Thousand","3"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Leitrim","Thousand","0.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Laois","Thousand","0.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Meath","Thousand","2.1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Monaghan","Thousand","0.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Mayo","Thousand","2.2"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Offaly","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Roscommon","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Sligo","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Tipperary","Thousand","2.5"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Waterford","Thousand","1.8"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Wicklow","Thousand","1.9"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Westmeath","Thousand","1"
"Estimated Population (Persons in April)","2018","75 - 79 years","Female","Co. Wexford","Thousand","2.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Ireland","Thousand","85.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Clare","Thousand","2.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Cork","Thousand","10.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Cavan","Thousand","1.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Carlow","Thousand","1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Donegal","Thousand","3.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Dublin","Thousand","23.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Galway","Thousand","4.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Kildare","Thousand","2.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Kilkenny","Thousand","1.9"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Kerry","Thousand","3.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Longford","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Louth","Thousand","2.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Limerick","Thousand","3.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Leitrim","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Laois","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Meath","Thousand","2.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Monaghan","Thousand","1.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Mayo","Thousand","3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Offaly","Thousand","1.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Roscommon","Thousand","1.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Sligo","Thousand","1.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Tipperary","Thousand","3.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Waterford","Thousand","2.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Wicklow","Thousand","2.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Westmeath","Thousand","1.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Both sexes","Co. Wexford","Thousand","3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Ireland","Thousand","37.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Clare","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Cork","Thousand","4.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Cavan","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Carlow","Thousand","0.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Donegal","Thousand","1.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Dublin","Thousand","9.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Galway","Thousand","2.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Kildare","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Kilkenny","Thousand","0.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Kerry","Thousand","1.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Longford","Thousand","0.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Louth","Thousand","1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Limerick","Thousand","1.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Leitrim","Thousand","0.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Laois","Thousand","0.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Meath","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Monaghan","Thousand","0.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Mayo","Thousand","1.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Offaly","Thousand","0.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Roscommon","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Sligo","Thousand","0.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Tipperary","Thousand","1.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Waterford","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Wicklow","Thousand","1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Westmeath","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Male","Co. Wexford","Thousand","1.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Ireland","Thousand","47.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Clare","Thousand","1.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Cork","Thousand","5.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Cavan","Thousand","0.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Carlow","Thousand","0.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Donegal","Thousand","1.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Dublin","Thousand","13.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Galway","Thousand","2.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Kildare","Thousand","1.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Kilkenny","Thousand","1.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Kerry","Thousand","1.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Longford","Thousand","0.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Louth","Thousand","1.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Limerick","Thousand","2.1"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Leitrim","Thousand","0.4"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Laois","Thousand","0.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Meath","Thousand","1.5"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Monaghan","Thousand","0.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Mayo","Thousand","1.6"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Offaly","Thousand","0.7"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Roscommon","Thousand","0.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Sligo","Thousand","0.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Tipperary","Thousand","1.9"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Waterford","Thousand","1.3"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Wicklow","Thousand","1.2"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Westmeath","Thousand","0.8"
"Estimated Population (Persons in April)","2018","80 - 84 years","Female","Co. Wexford","Thousand","1.6"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Ireland","Thousand","71.8"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Clare","Thousand","2"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Cork","Thousand","8.3"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Cavan","Thousand","1.3"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Carlow","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Donegal","Thousand","2.9"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Dublin","Thousand","19.5"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Galway","Thousand","4.1"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Kildare","Thousand","2"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Kilkenny","Thousand","1.7"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Kerry","Thousand","2.6"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Longford","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Louth","Thousand","1.8"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Limerick","Thousand","3.1"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Leitrim","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Laois","Thousand","0.8"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Meath","Thousand","2"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Monaghan","Thousand","1.1"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Mayo","Thousand","2.7"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Offaly","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Roscommon","Thousand","1.4"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Sligo","Thousand","1.3"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Tipperary","Thousand","3.1"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Waterford","Thousand","2"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Wicklow","Thousand","1.8"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Westmeath","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Both sexes","Co. Wexford","Thousand","2.4"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Ireland","Thousand","25.8"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Clare","Thousand","0.8"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Cork","Thousand","3"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Cavan","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Carlow","Thousand","0.3"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Donegal","Thousand","1.1"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Dublin","Thousand","6.6"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Galway","Thousand","1.5"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Kildare","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Kilkenny","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Kerry","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Longford","Thousand","0.2"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Louth","Thousand","0.6"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Limerick","Thousand","1.1"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Leitrim","Thousand","0.3"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Laois","Thousand","0.4"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Meath","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Monaghan","Thousand","0.4"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Mayo","Thousand","1"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Offaly","Thousand","0.4"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Roscommon","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Sligo","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Tipperary","Thousand","1.2"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Waterford","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Wicklow","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Westmeath","Thousand","0.3"
"Estimated Population (Persons in April)","2018","85 years and over","Male","Co. Wexford","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Ireland","Thousand","46"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Clare","Thousand","1.3"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Cork","Thousand","5.3"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Cavan","Thousand","0.8"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Carlow","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Donegal","Thousand","1.8"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Dublin","Thousand","13"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Galway","Thousand","2.6"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Kildare","Thousand","1.3"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Kilkenny","Thousand","1.1"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Kerry","Thousand","1.7"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Longford","Thousand","0.3"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Louth","Thousand","1.2"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Limerick","Thousand","2"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Leitrim","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Laois","Thousand","0.4"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Meath","Thousand","1.3"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Monaghan","Thousand","0.7"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Mayo","Thousand","1.7"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Offaly","Thousand","0.5"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Roscommon","Thousand","0.9"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Sligo","Thousand","0.8"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Tipperary","Thousand","1.9"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Waterford","Thousand","1.2"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Wicklow","Thousand","1.2"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Westmeath","Thousand","0.6"
"Estimated Population (Persons in April)","2018","85 years and over","Female","Co. Wexford","Thousand","1.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Ireland","Thousand","4884.9"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Clare","Thousand","122.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Cork","Thousand","554.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Cavan","Thousand","78.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Carlow","Thousand","58.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Donegal","Thousand","164.2"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Dublin","Thousand","1373.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Galway","Thousand","259.2"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kildare","Thousand","232.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kilkenny","Thousand","101.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kerry","Thousand","148.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Longford","Thousand","42.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Louth","Thousand","132.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Limerick","Thousand","200.6"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Leitrim","Thousand","33.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Laois","Thousand","88.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Meath","Thousand","205"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Monaghan","Thousand","63.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Mayo","Thousand","133.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Offaly","Thousand","81.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Roscommon","Thousand","66.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Sligo","Thousand","66.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Tipperary","Thousand","165.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Waterford","Thousand","118.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Wicklow","Thousand","149.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Westmeath","Thousand","92.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Wexford","Thousand","153.6"
"Estimated Population (Persons in April)","2018","All ages","Male","Ireland","Thousand","2419.5"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Clare","Thousand","60.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Cork","Thousand","275.2"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Cavan","Thousand","39.1"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Carlow","Thousand","29"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Donegal","Thousand","81.5"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Dublin","Thousand","671"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Galway","Thousand","128.6"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Kildare","Thousand","115.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Kilkenny","Thousand","50.5"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Kerry","Thousand","73.8"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Longford","Thousand","21.6"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Louth","Thousand","65.4"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Limerick","Thousand","100.5"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Leitrim","Thousand","16.5"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Laois","Thousand","44.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Meath","Thousand","101.8"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Monaghan","Thousand","31.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Mayo","Thousand","66.3"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Offaly","Thousand","40.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Roscommon","Thousand","33.3"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Sligo","Thousand","33"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Tipperary","Thousand","82.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Waterford","Thousand","58.9"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Wicklow","Thousand","73.7"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Westmeath","Thousand","46.3"
"Estimated Population (Persons in April)","2018","All ages","Male","Co. Wexford","Thousand","75.9"
"Estimated Population (Persons in April)","2018","All ages","Female","Ireland","Thousand","2465.4"
"Estimated Population (Persons in April)","2018","All ages","Female","Co. Clare","Thousand","61.7"
"Estimated Population (Persons in April)","2018","All ages","Female","Co. Cork","Thousand","279"
"Estimated Population (Persons in April)","2018","All ages","Female","Co. Cavan","Thousand","39"
