"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Cavan","Thousand","2.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Carlow","Thousand","1.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Donegal","Thousand","5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Dublin","Thousand","44.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Galway","Thousand","8.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kildare","Thousand","8.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kilkenny","Thousand","3.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kerry","Thousand","4.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Longford","Thousand","1.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Louth","Thousand","4.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Limerick","Thousand","6.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Leitrim","Thousand","1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Laois","Thousand","3.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Meath","Thousand","7.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Monaghan","Thousand","2.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Mayo","Thousand","4.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Offaly","Thousand","2.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Roscommon","Thousand","2.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Sligo","Thousand","2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Tipperary","Thousand","5.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Waterford","Thousand","3.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Wicklow","Thousand","5.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Westmeath","Thousand","3.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Wexford","Thousand","4.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Ireland","Thousand","360.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Clare","Thousand","9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Cork","Thousand","40.6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Cavan","Thousand","6.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Carlow","Thousand","4.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Donegal","Thousand","12.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Dublin","Thousand","92.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Galway","Thousand","19.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Kildare","Thousand","19.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Kilkenny","Thousand","7.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Kerry","Thousand","10.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Longford","Thousand","3.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Louth","Thousand","10.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Limerick","Thousand","14.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Leitrim","Thousand","2.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Laois","Thousand","7.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Meath","Thousand","18.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Monaghan","Thousand","5.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Mayo","Thousand","9.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Offaly","Thousand","6.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Roscommon","Thousand","4.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Sligo","Thousand","4.9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Tipperary","Thousand","12.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Waterford","Thousand","8.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Wicklow","Thousand","11.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Westmeath","Thousand","6.9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Both sexes","Co. Wexford","Thousand","11.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Ireland","Thousand","184"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Clare","Thousand","4.6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Cork","Thousand","20.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Cavan","Thousand","3.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Carlow","Thousand","2.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Donegal","Thousand","6.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Dublin","Thousand","47.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Galway","Thousand","9.9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Kildare","Thousand","10"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Kilkenny","Thousand","4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Kerry","Thousand","5.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Longford","Thousand","1.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Louth","Thousand","5.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Limerick","Thousand","7.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Leitrim","Thousand","1.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Laois","Thousand","3.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Meath","Thousand","9.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Monaghan","Thousand","2.6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Mayo","Thousand","4.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Offaly","Thousand","3.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Roscommon","Thousand","2.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Sligo","Thousand","2.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Tipperary","Thousand","6.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Waterford","Thousand","4.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Wicklow","Thousand","6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Westmeath","Thousand","3.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Male","Co. Wexford","Thousand","6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Ireland","Thousand","176.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Clare","Thousand","4.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Cork","Thousand","20"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Cavan","Thousand","3.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Carlow","Thousand","2.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Donegal","Thousand","6.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Dublin","Thousand","45.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Galway","Thousand","9.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Kildare","Thousand","9.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Kilkenny","Thousand","3.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Kerry","Thousand","5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Longford","Thousand","1.6"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Louth","Thousand","5.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Limerick","Thousand","6.9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Leitrim","Thousand","1.2"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Laois","Thousand","3.7"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Meath","Thousand","9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Monaghan","Thousand","2.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Mayo","Thousand","4.5"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Offaly","Thousand","3.1"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Roscommon","Thousand","2.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Sligo","Thousand","2.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Tipperary","Thousand","5.9"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Waterford","Thousand","4.3"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Wicklow","Thousand","5.8"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Westmeath","Thousand","3.4"
"Estimated Population (Persons in April)","2017","5 - 9 years","Female","Co. Wexford","Thousand","5.7"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Ireland","Thousand","324.7"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Clare","Thousand","8.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Cork","Thousand","36.1"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Cavan","Thousand","5.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Carlow","Thousand","4.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Donegal","Thousand","12.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Dublin","Thousand","79"
