"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2016 April","National excluding Dublin - apartments","Base 2015=100","109"
"Residential Property Price Index","2016 April","Border - houses","Base 2015=100","106.7"
"Residential Property Price Index","2016 April","Midland - houses","Base 2015=100","111.4"
"Residential Property Price Index","2016 April","West - houses","Base 2015=100","107"
"Residential Property Price Index","2016 April","Mid-East - houses","Base 2015=100","103.1"
"Residential Property Price Index","2016 April","Mid-West - houses","Base 2015=100","104.8"
"Residential Property Price Index","2016 April","South-East - houses","Base 2015=100","105.4"
"Residential Property Price Index","2016 April","South-West - houses","Base 2015=100","107.1"
"Residential Property Price Index","2016 May","National - all residential properties","Base 2015=100","104.5"
"Residential Property Price Index","2016 May","National - houses","Base 2015=100","104.1"
"Residential Property Price Index","2016 May","National - apartments","Base 2015=100","105.2"
"Residential Property Price Index","2016 May","Dublin - all residential properties","Base 2015=100","102.9"
"Residential Property Price Index","2016 May","Dublin - houses","Base 2015=100","102.2"
"Residential Property Price Index","2016 May","Dublin - apartments","Base 2015=100","104.8"
"Residential Property Price Index","2016 May","Dublin City - houses","Base 2015=100","101.3"
"Residential Property Price Index","2016 May","Dun Laoghaire-Rathdown - houses","Base 2015=100","103.4"
"Residential Property Price Index","2016 May","Fingal - houses","Base 2015=100","103.5"
"Residential Property Price Index","2016 May","South Dublin - houses","Base 2015=100","99"
"Residential Property Price Index","2016 May","National excluding Dublin - all residential properties","Base 2015=100","106.2"
"Residential Property Price Index","2016 May","National excluding Dublin - houses","Base 2015=100","105.8"
"Residential Property Price Index","2016 May","National excluding Dublin - apartments","Base 2015=100","110.4"
"Residential Property Price Index","2016 May","Border - houses","Base 2015=100","107.9"
"Residential Property Price Index","2016 May","Midland - houses","Base 2015=100","112.2"
"Residential Property Price Index","2016 May","West - houses","Base 2015=100","107.4"
"Residential Property Price Index","2016 May","Mid-East - houses","Base 2015=100","102.9"
"Residential Property Price Index","2016 May","Mid-West - houses","Base 2015=100","104.3"
"Residential Property Price Index","2016 May","South-East - houses","Base 2015=100","104.7"
"Residential Property Price Index","2016 May","South-West - houses","Base 2015=100","108.4"
"Residential Property Price Index","2016 June","National - all residential properties","Base 2015=100","105.6"
"Residential Property Price Index","2016 June","National - houses","Base 2015=100","105"
"Residential Property Price Index","2016 June","National - apartments","Base 2015=100","107"
"Residential Property Price Index","2016 June","Dublin - all residential properties","Base 2015=100","103.1"
"Residential Property Price Index","2016 June","Dublin - houses","Base 2015=100","102.2"
"Residential Property Price Index","2016 June","Dublin - apartments","Base 2015=100","106"
"Residential Property Price Index","2016 June","Dublin City - houses","Base 2015=100","101.1"
"Residential Property Price Index","2016 June","Dun Laoghaire-Rathdown - houses","Base 2015=100","103.4"
"Residential Property Price Index","2016 June","Fingal - houses","Base 2015=100","103.2"
"Residential Property Price Index","2016 June","South Dublin - houses","Base 2015=100","99.6"
"Residential Property Price Index","2016 June","National excluding Dublin - all residential properties","Base 2015=100","108.2"
"Residential Property Price Index","2016 June","National excluding Dublin - houses","Base 2015=100","107.6"
"Residential Property Price Index","2016 June","National excluding Dublin - apartments","Base 2015=100","115.2"
"Residential Property Price Index","2016 June","Border - houses","Base 2015=100","108.6"
"Residential Property Price Index","2016 June","Midland - houses","Base 2015=100","113.2"
"Residential Property Price Index","2016 June","West - houses","Base 2015=100","110.2"
"Residential Property Price Index","2016 June","Mid-East - houses","Base 2015=100","103.5"
"Residential Property Price Index","2016 June","Mid-West - houses","Base 2015=100","106.6"
"Residential Property Price Index","2016 June","South-East - houses","Base 2015=100","104.7"
"Residential Property Price Index","2016 June","South-West - houses","Base 2015=100","108.9"
"Residential Property Price Index","2016 July","National - all residential properties","Base 2015=100","107.9"
"Residential Property Price Index","2016 July","National - houses","Base 2015=100","107.7"
"Residential Property Price Index","2016 July","National - apartments","Base 2015=100","107.4"
"Residential Property Price Index","2016 July","Dublin - all residential properties","Base 2015=100","104.4"
"Residential Property Price Index","2016 July","Dublin - houses","Base 2015=100","104"
"Residential Property Price Index","2016 July","Dublin - apartments","Base 2015=100","105.6"
"Residential Property Price Index","2016 July","Dublin City - houses","Base 2015=100","102.5"
"Residential Property Price Index","2016 July","Dun Laoghaire-Rathdown - houses","Base 2015=100","104.5"
"Residential Property Price Index","2016 July","Fingal - houses","Base 2015=100","103.1"
"Residential Property Price Index","2016 July","South Dublin - houses","Base 2015=100","101.1"
"Residential Property Price Index","2016 July","National excluding Dublin - all residential properties","Base 2015=100","111.5"
"Residential Property Price Index","2016 July","National excluding Dublin - houses","Base 2015=100","111.1"
"Residential Property Price Index","2016 July","National excluding Dublin - apartments","Base 2015=100","116.9"
"Residential Property Price Index","2016 July","Border - houses","Base 2015=100","108.9"
"Residential Property Price Index","2016 July","Midland - houses","Base 2015=100","115.4"
"Residential Property Price Index","2016 July","West - houses","Base 2015=100","112.7"
"Residential Property Price Index","2016 July","Mid-East - houses","Base 2015=100","105.2"
"Residential Property Price Index","2016 July","Mid-West - houses","Base 2015=100","109.5"
"Residential Property Price Index","2016 July","South-East - houses","Base 2015=100","107.7"
"Residential Property Price Index","2016 July","South-West - houses","Base 2015=100","111.7"
"Residential Property Price Index","2016 August","National - all residential properties","Base 2015=100","109.4"
"Residential Property Price Index","2016 August","National - houses","Base 2015=100","109.3"
"Residential Property Price Index","2016 August","National - apartments","Base 2015=100","108.6"
"Residential Property Price Index","2016 August","Dublin - all residential properties","Base 2015=100","106"
"Residential Property Price Index","2016 August","Dublin - houses","Base 2015=100","105.6"
"Residential Property Price Index","2016 August","Dublin - apartments","Base 2015=100","107.2"
"Residential Property Price Index","2016 August","Dublin City - houses","Base 2015=100","104.3"
"Residential Property Price Index","2016 August","Dun Laoghaire-Rathdown - houses","Base 2015=100","106.4"
"Residential Property Price Index","2016 August","Fingal - houses","Base 2015=100","102.3"
"Residential Property Price Index","2016 August","South Dublin - houses","Base 2015=100","101.6"
"Residential Property Price Index","2016 August","National excluding Dublin - all residential properties","Base 2015=100","112.9"
"Residential Property Price Index","2016 August","National excluding Dublin - houses","Base 2015=100","112.6"
"Residential Property Price Index","2016 August","National excluding Dublin - apartments","Base 2015=100","117"
"Residential Property Price Index","2016 August","Border - houses","Base 2015=100","109.7"
"Residential Property Price Index","2016 August","Midland - houses","Base 2015=100","116.3"
"Residential Property Price Index","2016 August","West - houses","Base 2015=100","114.5"
"Residential Property Price Index","2016 August","Mid-East - houses","Base 2015=100","106.4"
"Residential Property Price Index","2016 August","Mid-West - houses","Base 2015=100","112"
"Residential Property Price Index","2016 August","South-East - houses","Base 2015=100","111.2"
"Residential Property Price Index","2016 August","South-West - houses","Base 2015=100","112.3"
"Residential Property Price Index","2016 September","National - all residential properties","Base 2015=100","110.7"
"Residential Property Price Index","2016 September","National - houses","Base 2015=100","110.6"
"Residential Property Price Index","2016 September","National - apartments","Base 2015=100","109.7"
"Residential Property Price Index","2016 September","Dublin - all residential properties","Base 2015=100","107.6"
"Residential Property Price Index","2016 September","Dublin - houses","Base 2015=100","107.2"
"Residential Property Price Index","2016 September","Dublin - apartments","Base 2015=100","109"
"Residential Property Price Index","2016 September","Dublin City - houses","Base 2015=100","106"
"Residential Property Price Index","2016 September","Dun Laoghaire-Rathdown - houses","Base 2015=100","108.2"
"Residential Property Price Index","2016 September","Fingal - houses","Base 2015=100","102.2"
"Residential Property Price Index","2016 September","South Dublin - houses","Base 2015=100","102.6"
"Residential Property Price Index","2016 September","National excluding Dublin - all residential properties","Base 2015=100","113.9"
"Residential Property Price Index","2016 September","National excluding Dublin - houses","Base 2015=100","113.8"
"Residential Property Price Index","2016 September","National excluding Dublin - apartments","Base 2015=100","115.9"
"Residential Property Price Index","2016 September","Border - houses","Base 2015=100","110.7"
"Residential Property Price Index","2016 September","Midland - houses","Base 2015=100","119.1"
"Residential Property Price Index","2016 September","West - houses","Base 2015=100","115.3"
"Residential Property Price Index","2016 September","Mid-East - houses","Base 2015=100","107.7"
"Residential Property Price Index","2016 September","Mid-West - houses","Base 2015=100","113"
"Residential Property Price Index","2016 September","South-East - houses","Base 2015=100","112.8"
"Residential Property Price Index","2016 September","South-West - houses","Base 2015=100","114.2"
"Residential Property Price Index","2016 October","National - all residential properties","Base 2015=100","111.2"
"Residential Property Price Index","2016 October","National - houses","Base 2015=100","111.2"
"Residential Property Price Index","2016 October","National - apartments","Base 2015=100","110.4"
"Residential Property Price Index","2016 October","Dublin - all residential properties","Base 2015=100","107.9"
"Residential Property Price Index","2016 October","Dublin - houses","Base 2015=100","107.4"
"Residential Property Price Index","2016 October","Dublin - apartments","Base 2015=100","109.5"
"Residential Property Price Index","2016 October","Dublin City - houses","Base 2015=100","106.6"
"Residential Property Price Index","2016 October","Dun Laoghaire-Rathdown - houses","Base 2015=100","109.3"
"Residential Property Price Index","2016 October","Fingal - houses","Base 2015=100","102.3"
"Residential Property Price Index","2016 October","South Dublin - houses","Base 2015=100","103"
"Residential Property Price Index","2016 October","National excluding Dublin - all residential properties","Base 2015=100","114.7"
"Residential Property Price Index","2016 October","National excluding Dublin - houses","Base 2015=100","114.7"
"Residential Property Price Index","2016 October","National excluding Dublin - apartments","Base 2015=100","116.2"
"Residential Property Price Index","2016 October","Border - houses","Base 2015=100","111.2"
"Residential Property Price Index","2016 October","Midland - houses","Base 2015=100","121.6"
"Residential Property Price Index","2016 October","West - houses","Base 2015=100","116.8"
"Residential Property Price Index","2016 October","Mid-East - houses","Base 2015=100","109.7"
"Residential Property Price Index","2016 October","Mid-West - houses","Base 2015=100","112.9"
"Residential Property Price Index","2016 October","South-East - houses","Base 2015=100","115.3"
"Residential Property Price Index","2016 October","South-West - houses","Base 2015=100","114.8"
"Residential Property Price Index","2016 November","National - all residential properties","Base 2015=100","112.7"
"Residential Property Price Index","2016 November","National - houses","Base 2015=100","112.6"
"Residential Property Price Index","2016 November","National - apartments","Base 2015=100","112.1"
"Residential Property Price Index","2016 November","Dublin - all residential properties","Base 2015=100","109.1"
"Residential Property Price Index","2016 November","Dublin - houses","Base 2015=100","108.4"
"Residential Property Price Index","2016 November","Dublin - apartments","Base 2015=100","111.4"
"Residential Property Price Index","2016 November","Dublin City - houses","Base 2015=100","107.7"
"Residential Property Price Index","2016 November","Dun Laoghaire-Rathdown - houses","Base 2015=100","110.6"
