"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2020 February","National - houses","Base 2015=100","134.3"
"Residential Property Price Index","2020 February","National - apartments","Base 2015=100","136.3"
"Residential Property Price Index","2020 February","Dublin - all residential properties","Base 2015=100","124.6"
"Residential Property Price Index","2020 February","Dublin - houses","Base 2015=100","124.2"
"Residential Property Price Index","2020 February","Dublin - apartments","Base 2015=100","128.4"
"Residential Property Price Index","2020 February","Dublin City - houses","Base 2015=100","124.2"
"Residential Property Price Index","2020 February","Dun Laoghaire-Rathdown - houses","Base 2015=100","121.1"
"Residential Property Price Index","2020 February","Fingal - houses","Base 2015=100","126.1"
"Residential Property Price Index","2020 February","South Dublin - houses","Base 2015=100","120.9"
"Residential Property Price Index","2020 February","National excluding Dublin - all residential properties","Base 2015=100","144.8"
"Residential Property Price Index","2020 February","National excluding Dublin - houses","Base 2015=100","143.8"
"Residential Property Price Index","2020 February","National excluding Dublin - apartments","Base 2015=100","155.9"
"Residential Property Price Index","2020 February","Border - houses","Base 2015=100","147.3"
"Residential Property Price Index","2020 February","Midland - houses","Base 2015=100","156.3"
"Residential Property Price Index","2020 February","West - houses","Base 2015=100","163.2"
"Residential Property Price Index","2020 February","Mid-East - houses","Base 2015=100","131.3"
"Residential Property Price Index","2020 February","Mid-West - houses","Base 2015=100","153.1"
"Residential Property Price Index","2020 February","South-East - houses","Base 2015=100","142.8"
"Residential Property Price Index","2020 February","South-West - houses","Base 2015=100","146.4"
"Residential Property Price Index","2020 March","National - all residential properties","Base 2015=100","134.3"
"Residential Property Price Index","2020 March","National - houses","Base 2015=100","134.2"
"Residential Property Price Index","2020 March","National - apartments","Base 2015=100","136.9"
"Residential Property Price Index","2020 March","Dublin - all residential properties","Base 2015=100","124.7"
"Residential Property Price Index","2020 March","Dublin - houses","Base 2015=100","124.1"
"Residential Property Price Index","2020 March","Dublin - apartments","Base 2015=100","129.6"
"Residential Property Price Index","2020 March","Dublin City - houses","Base 2015=100","123.6"
"Residential Property Price Index","2020 March","Dun Laoghaire-Rathdown - houses","Base 2015=100","121.4"
"Residential Property Price Index","2020 March","Fingal - houses","Base 2015=100","126"
"Residential Property Price Index","2020 March","South Dublin - houses","Base 2015=100","120.9"
"Residential Property Price Index","2020 March","National excluding Dublin - all residential properties","Base 2015=100","144.7"
"Residential Property Price Index","2020 March","National excluding Dublin - houses","Base 2015=100","143.9"
"Residential Property Price Index","2020 March","National excluding Dublin - apartments","Base 2015=100","154.5"
"Residential Property Price Index","2020 March","Border - houses","Base 2015=100","145.3"
"Residential Property Price Index","2020 March","Midland - houses","Base 2015=100","153.7"
"Residential Property Price Index","2020 March","West - houses","Base 2015=100","165"
"Residential Property Price Index","2020 March","Mid-East - houses","Base 2015=100","131.8"
"Residential Property Price Index","2020 March","Mid-West - houses","Base 2015=100","153.1"
"Residential Property Price Index","2020 March","South-East - houses","Base 2015=100","142.7"
"Residential Property Price Index","2020 March","South-West - houses","Base 2015=100","146.6"
"Residential Property Price Index","2020 April","National - all residential properties","Base 2015=100","134.2"
"Residential Property Price Index","2020 April","National - houses","Base 2015=100","134"
"Residential Property Price Index","2020 April","National - apartments","Base 2015=100","137.7"
"Residential Property Price Index","2020 April","Dublin - all residential properties","Base 2015=100","124.2"
"Residential Property Price Index","2020 April","Dublin - houses","Base 2015=100","123.3"
"Residential Property Price Index","2020 April","Dublin - apartments","Base 2015=100","130.3"
"Residential Property Price Index","2020 April","Dublin City - houses","Base 2015=100","123"
"Residential Property Price Index","2020 April","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.4"
"Residential Property Price Index","2020 April","Fingal - houses","Base 2015=100","123.8"
"Residential Property Price Index","2020 April","South Dublin - houses","Base 2015=100","121.9"
"Residential Property Price Index","2020 April","National excluding Dublin - all residential properties","Base 2015=100","145.1"
"Residential Property Price Index","2020 April","National excluding Dublin - houses","Base 2015=100","144.2"
"Residential Property Price Index","2020 April","National excluding Dublin - apartments","Base 2015=100","155.6"
"Residential Property Price Index","2020 April","Border - houses","Base 2015=100","143.2"
"Residential Property Price Index","2020 April","Midland - houses","Base 2015=100","153.9"
"Residential Property Price Index","2020 April","West - houses","Base 2015=100","166.2"
"Residential Property Price Index","2020 April","Mid-East - houses","Base 2015=100","132.8"
"Residential Property Price Index","2020 April","Mid-West - houses","Base 2015=100","151.4"
"Residential Property Price Index","2020 April","South-East - houses","Base 2015=100","142"
"Residential Property Price Index","2020 April","South-West - houses","Base 2015=100","147.2"
"Residential Property Price Index","2020 May","National - all residential properties","Base 2015=100","134.1"
"Residential Property Price Index","2020 May","National - houses","Base 2015=100","133.8"
"Residential Property Price Index","2020 May","National - apartments","Base 2015=100","138.1"
"Residential Property Price Index","2020 May","Dublin - all residential properties","Base 2015=100","123.9"
"Residential Property Price Index","2020 May","Dublin - houses","Base 2015=100","122.9"
"Residential Property Price Index","2020 May","Dublin - apartments","Base 2015=100","130.4"
"Residential Property Price Index","2020 May","Dublin City - houses","Base 2015=100","122.6"
"Residential Property Price Index","2020 May","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.6"
"Residential Property Price Index","2020 May","Fingal - houses","Base 2015=100","123.2"
"Residential Property Price Index","2020 May","South Dublin - houses","Base 2015=100","120.9"
"Residential Property Price Index","2020 May","National excluding Dublin - all residential properties","Base 2015=100","145.2"
"Residential Property Price Index","2020 May","National excluding Dublin - houses","Base 2015=100","144.3"
"Residential Property Price Index","2020 May","National excluding Dublin - apartments","Base 2015=100","156.7"
"Residential Property Price Index","2020 May","Border - houses","Base 2015=100","142.9"
"Residential Property Price Index","2020 May","Midland - houses","Base 2015=100","153.3"
"Residential Property Price Index","2020 May","West - houses","Base 2015=100","166.9"
"Residential Property Price Index","2020 May","Mid-East - houses","Base 2015=100","131.9"
"Residential Property Price Index","2020 May","Mid-West - houses","Base 2015=100","149.8"
"Residential Property Price Index","2020 May","South-East - houses","Base 2015=100","143.4"
"Residential Property Price Index","2020 May","South-West - houses","Base 2015=100","149.2"
"Residential Property Price Index","2020 June","National - all residential properties","Base 2015=100","134.2"
"Residential Property Price Index","2020 June","National - houses","Base 2015=100","133.8"
"Residential Property Price Index","2020 June","National - apartments","Base 2015=100","139.1"
"Residential Property Price Index","2020 June","Dublin - all residential properties","Base 2015=100","123.7"
"Residential Property Price Index","2020 June","Dublin - houses","Base 2015=100","122.3"
"Residential Property Price Index","2020 June","Dublin - apartments","Base 2015=100","131.8"
"Residential Property Price Index","2020 June","Dublin City - houses","Base 2015=100","122.5"
"Residential Property Price Index","2020 June","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.6"
"Residential Property Price Index","2020 June","Fingal - houses","Base 2015=100","121.8"
"Residential Property Price Index","2020 June","South Dublin - houses","Base 2015=100","119.7"
"Residential Property Price Index","2020 June","National excluding Dublin - all residential properties","Base 2015=100","145.7"
"Residential Property Price Index","2020 June","National excluding Dublin - houses","Base 2015=100","144.8"
"Residential Property Price Index","2020 June","National excluding Dublin - apartments","Base 2015=100","156.4"
"Residential Property Price Index","2020 June","Border - houses","Base 2015=100","140.3"
"Residential Property Price Index","2020 June","Midland - houses","Base 2015=100","155.6"
"Residential Property Price Index","2020 June","West - houses","Base 2015=100","166.6"
"Residential Property Price Index","2020 June","Mid-East - houses","Base 2015=100","132.2"
"Residential Property Price Index","2020 June","Mid-West - houses","Base 2015=100","149.8"
"Residential Property Price Index","2020 June","South-East - houses","Base 2015=100","143.3"
"Residential Property Price Index","2020 June","South-West - houses","Base 2015=100","151"
"Residential Property Price Index","2020 July","National - all residential properties","Base 2015=100","134.4"
"Residential Property Price Index","2020 July","National - houses","Base 2015=100","134"
"Residential Property Price Index","2020 July","National - apartments","Base 2015=100","139.6"
"Residential Property Price Index","2020 July","Dublin - all residential properties","Base 2015=100","123.5"
"Residential Property Price Index","2020 July","Dublin - houses","Base 2015=100","122.1"
"Residential Property Price Index","2020 July","Dublin - apartments","Base 2015=100","131.6"
"Residential Property Price Index","2020 July","Dublin City - houses","Base 2015=100","121.4"
"Residential Property Price Index","2020 July","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.1"
"Residential Property Price Index","2020 July","Fingal - houses","Base 2015=100","122.5"
"Residential Property Price Index","2020 July","South Dublin - houses","Base 2015=100","120.2"
"Residential Property Price Index","2020 July","National excluding Dublin - all residential properties","Base 2015=100","146.3"
"Residential Property Price Index","2020 July","National excluding Dublin - houses","Base 2015=100","145.3"
"Residential Property Price Index","2020 July","National excluding Dublin - apartments","Base 2015=100","158.9"
"Residential Property Price Index","2020 July","Border - houses","Base 2015=100","141.1"
"Residential Property Price Index","2020 July","Midland - houses","Base 2015=100","156.4"
"Residential Property Price Index","2020 July","West - houses","Base 2015=100","164.9"
"Residential Property Price Index","2020 July","Mid-East - houses","Base 2015=100","133.4"
"Residential Property Price Index","2020 July","Mid-West - houses","Base 2015=100","152.7"
"Residential Property Price Index","2020 July","South-East - houses","Base 2015=100","143.2"
"Residential Property Price Index","2020 July","South-West - houses","Base 2015=100","150.7"
"Residential Property Price Index","2020 August","National - all residential properties","Base 2015=100","134.5"
"Residential Property Price Index","2020 August","National - houses","Base 2015=100","134.1"
"Residential Property Price Index","2020 August","National - apartments","Base 2015=100","139.4"
"Residential Property Price Index","2020 August","Dublin - all residential properties","Base 2015=100","123.6"
"Residential Property Price Index","2020 August","Dublin - houses","Base 2015=100","122.1"
"Residential Property Price Index","2020 August","Dublin - apartments","Base 2015=100","131.6"
"Residential Property Price Index","2020 August","Dublin City - houses","Base 2015=100","120.8"
"Residential Property Price Index","2020 August","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.1"
"Residential Property Price Index","2020 August","Fingal - houses","Base 2015=100","123.5"
"Residential Property Price Index","2020 August","South Dublin - houses","Base 2015=100","120.3"
"Residential Property Price Index","2020 August","National excluding Dublin - all residential properties","Base 2015=100","146.4"
"Residential Property Price Index","2020 August","National excluding Dublin - houses","Base 2015=100","145.4"
"Residential Property Price Index","2020 August","National excluding Dublin - apartments","Base 2015=100","158.6"
"Residential Property Price Index","2020 August","Border - houses","Base 2015=100","138.6"
"Residential Property Price Index","2020 August","Midland - houses","Base 2015=100","159.3"
"Residential Property Price Index","2020 August","West - houses","Base 2015=100","164.3"
"Residential Property Price Index","2020 August","Mid-East - houses","Base 2015=100","133.9"
"Residential Property Price Index","2020 August","Mid-West - houses","Base 2015=100","150.9"
"Residential Property Price Index","2020 August","South-East - houses","Base 2015=100","144.3"
"Residential Property Price Index","2020 August","South-West - houses","Base 2015=100","150.6"
"Residential Property Price Index","2020 September","National - all residential properties","Base 2015=100","134.8"
"Residential Property Price Index","2020 September","National - houses","Base 2015=100","134.3"
"Residential Property Price Index","2020 September","National - apartments","Base 2015=100","139.9"
"Residential Property Price Index","2020 September","Dublin - all residential properties","Base 2015=100","123.7"
"Residential Property Price Index","2020 September","Dublin - houses","Base 2015=100","122.4"
"Residential Property Price Index","2020 September","Dublin - apartments","Base 2015=100","131"
"Residential Property Price Index","2020 September","Dublin City - houses","Base 2015=100","120.7"
"Residential Property Price Index","2020 September","Dun Laoghaire-Rathdown - houses","Base 2015=100","119.8"
"Residential Property Price Index","2020 September","Fingal - houses","Base 2015=100","124.2"
"Residential Property Price Index","2020 September","South Dublin - houses","Base 2015=100","121.3"
"Residential Property Price Index","2020 September","National excluding Dublin - all residential properties","Base 2015=100","146.9"
"Residential Property Price Index","2020 September","National excluding Dublin - houses","Base 2015=100","145.7"
"Residential Property Price Index","2020 September","National excluding Dublin - apartments","Base 2015=100","162.2"
"Residential Property Price Index","2020 September","Border - houses","Base 2015=100","140"
"Residential Property Price Index","2020 September","Midland - houses","Base 2015=100","159.8"
"Residential Property Price Index","2020 September","West - houses","Base 2015=100","163.2"
"Residential Property Price Index","2020 September","Mid-East - houses","Base 2015=100","135.1"
"Residential Property Price Index","2020 September","Mid-West - houses","Base 2015=100","149.9"
"Residential Property Price Index","2020 September","South-East - houses","Base 2015=100","146"
"Residential Property Price Index","2020 September","South-West - houses","Base 2015=100","149.6"
"Residential Property Price Index","2020 October","National - all residential properties","Base 2015=100","135.4"
"Residential Property Price Index","2020 October","National - houses","Base 2015=100","134.9"
"Residential Property Price Index","2020 October","National - apartments","Base 2015=100","140.8"
"Residential Property Price Index","2020 October","Dublin - all residential properties","Base 2015=100","124.3"
"Residential Property Price Index","2020 October","Dublin - houses","Base 2015=100","123"
"Residential Property Price Index","2020 October","Dublin - apartments","Base 2015=100","131.6"
"Residential Property Price Index","2020 October","Dublin City - houses","Base 2015=100","121.3"
"Residential Property Price Index","2020 October","Dun Laoghaire-Rathdown - houses","Base 2015=100","119.4"
"Residential Property Price Index","2020 October","Fingal - houses","Base 2015=100","124.9"
"Residential Property Price Index","2020 October","South Dublin - houses","Base 2015=100","123.1"
"Residential Property Price Index","2020 October","National excluding Dublin - all residential properties","Base 2015=100","147.5"
"Residential Property Price Index","2020 October","National excluding Dublin - houses","Base 2015=100","146.2"
"Residential Property Price Index","2020 October","National excluding Dublin - apartments","Base 2015=100","164"
"Residential Property Price Index","2020 October","Border - houses","Base 2015=100","140.9"
"Residential Property Price Index","2020 October","Midland - houses","Base 2015=100","159.2"
"Residential Property Price Index","2020 October","West - houses","Base 2015=100","165.8"
"Residential Property Price Index","2020 October","Mid-East - houses","Base 2015=100","136.1"
"Residential Property Price Index","2020 October","Mid-West - houses","Base 2015=100","149.3"
"Residential Property Price Index","2020 October","South-East - houses","Base 2015=100","146.4"
"Residential Property Price Index","2020 October","South-West - houses","Base 2015=100","149"
"Residential Property Price Index","2020 November","National - all residential properties","Base 2015=100","136.2"
"Residential Property Price Index","2020 November","National - houses","Base 2015=100","135.9"
"Residential Property Price Index","2020 November","National - apartments","Base 2015=100","140.6"
"Residential Property Price Index","2020 November","Dublin - all residential properties","Base 2015=100","124.8"
"Residential Property Price Index","2020 November","Dublin - houses","Base 2015=100","123.9"
"Residential Property Price Index","2020 November","Dublin - apartments","Base 2015=100","130.9"
"Residential Property Price Index","2020 November","Dublin City - houses","Base 2015=100","123.2"
"Residential Property Price Index","2020 November","Dun Laoghaire-Rathdown - houses","Base 2015=100","119.8"
"Residential Property Price Index","2020 November","Fingal - houses","Base 2015=100","124.4"
"Residential Property Price Index","2020 November","South Dublin - houses","Base 2015=100","124.5"
"Residential Property Price Index","2020 November","National excluding Dublin - all residential properties","Base 2015=100","148.7"
"Residential Property Price Index","2020 November","National excluding Dublin - houses","Base 2015=100","147.4"
"Residential Property Price Index","2020 November","National excluding Dublin - apartments","Base 2015=100","165.2"
"Residential Property Price Index","2020 November","Border - houses","Base 2015=100","143.3"
"Residential Property Price Index","2020 November","Midland - houses","Base 2015=100","159.5"
"Residential Property Price Index","2020 November","West - houses","Base 2015=100","167.6"
"Residential Property Price Index","2020 November","Mid-East - houses","Base 2015=100","137.2"
"Residential Property Price Index","2020 November","Mid-West - houses","Base 2015=100","151.4"
"Residential Property Price Index","2020 November","South-East - houses","Base 2015=100","147.5"
"Residential Property Price Index","2020 November","South-West - houses","Base 2015=100","149.9"
"Residential Property Price Index","2020 December","National - all residential properties","Base 2015=100","137.2"
"Residential Property Price Index","2020 December","National - houses","Base 2015=100","137"
"Residential Property Price Index","2020 December","National - apartments","Base 2015=100","140.9"
"Residential Property Price Index","2020 December","Dublin - all residential properties","Base 2015=100","125.4"
"Residential Property Price Index","2020 December","Dublin - houses","Base 2015=100","124.7"
"Residential Property Price Index","2020 December","Dublin - apartments","Base 2015=100","130.6"
"Residential Property Price Index","2020 December","Dublin City - houses","Base 2015=100","124.2"
"Residential Property Price Index","2020 December","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.9"
"Residential Property Price Index","2020 December","Fingal - houses","Base 2015=100","125"
"Residential Property Price Index","2020 December","South Dublin - houses","Base 2015=100","124.9"
"Residential Property Price Index","2020 December","National excluding Dublin - all residential properties","Base 2015=100","150.2"
"Residential Property Price Index","2020 December","National excluding Dublin - houses","Base 2015=100","148.8"
"Residential Property Price Index","2020 December","National excluding Dublin - apartments","Base 2015=100","167.7"
"Residential Property Price Index","2020 December","Border - houses","Base 2015=100","145.3"
"Residential Property Price Index","2020 December","Midland - houses","Base 2015=100","161.1"
"Residential Property Price Index","2020 December","West - houses","Base 2015=100","169.9"
"Residential Property Price Index","2020 December","Mid-East - houses","Base 2015=100","138.3"
"Residential Property Price Index","2020 December","Mid-West - houses","Base 2015=100","153.7"
"Residential Property Price Index","2020 December","South-East - houses","Base 2015=100","149.5"
"Residential Property Price Index","2020 December","South-West - houses","Base 2015=100","150.3"
"Residential Property Price Index","2021 January","National - all residential properties","Base 2015=100","137.8"
"Residential Property Price Index","2021 January","National - houses","Base 2015=100","137.7"
"Residential Property Price Index","2021 January","National - apartments","Base 2015=100","140.2"
"Residential Property Price Index","2021 January","Dublin - all residential properties","Base 2015=100","125.7"
"Residential Property Price Index","2021 January","Dublin - houses","Base 2015=100","125.2"
"Residential Property Price Index","2021 January","Dublin - apartments","Base 2015=100","129.8"
"Residential Property Price Index","2021 January","Dublin City - houses","Base 2015=100","124.6"
"Residential Property Price Index","2021 January","Dun Laoghaire-Rathdown - houses","Base 2015=100","122.4"
"Residential Property Price Index","2021 January","Fingal - houses","Base 2015=100","124.7"
"Residential Property Price Index","2021 January","South Dublin - houses","Base 2015=100","125.1"
"Residential Property Price Index","2021 January","National excluding Dublin - all residential properties","Base 2015=100","151"
"Residential Property Price Index","2021 January","National excluding Dublin - houses","Base 2015=100","149.6"
"Residential Property Price Index","2021 January","National excluding Dublin - apartments","Base 2015=100","167.4"
"Residential Property Price Index","2021 January","Border - houses","Base 2015=100","148.1"
"Residential Property Price Index","2021 January","Midland - houses","Base 2015=100","161.2"
"Residential Property Price Index","2021 January","West - houses","Base 2015=100","171.5"
"Residential Property Price Index","2021 January","Mid-East - houses","Base 2015=100","138"
"Residential Property Price Index","2021 January","Mid-West - houses","Base 2015=100","153.8"
"Residential Property Price Index","2021 January","South-East - houses","Base 2015=100","150.8"
"Residential Property Price Index","2021 January","South-West - houses","Base 2015=100","152.4"
"Residential Property Price Index","2021 February","National - all residential properties","Base 2015=100","138.3"
"Residential Property Price Index","2021 February","National - houses","Base 2015=100","138.2"
"Residential Property Price Index","2021 February","National - apartments","Base 2015=100","140.6"
"Residential Property Price Index","2021 February","Dublin - all residential properties","Base 2015=100","126.4"
"Residential Property Price Index","2021 February","Dublin - houses","Base 2015=100","126.1"
"Residential Property Price Index","2021 February","Dublin - apartments","Base 2015=100","129.8"
"Residential Property Price Index","2021 February","Dublin City - houses","Base 2015=100","126.2"
"Residential Property Price Index","2021 February","Dun Laoghaire-Rathdown - houses","Base 2015=100","123.1"
"Residential Property Price Index","2021 February","Fingal - houses","Base 2015=100","125.6"
"Residential Property Price Index","2021 February","South Dublin - houses","Base 2015=100","124.9"
"Residential Property Price Index","2021 February","National excluding Dublin - all residential properties","Base 2015=100","151.2"
"Residential Property Price Index","2021 February","National excluding Dublin - houses","Base 2015=100","149.8"
"Residential Property Price Index","2021 February","National excluding Dublin - apartments","Base 2015=100","168.7"
"Residential Property Price Index","2021 February","Border - houses","Base 2015=100","147.9"
"Residential Property Price Index","2021 February","Midland - houses","Base 2015=100","163.5"
"Residential Property Price Index","2021 February","West - houses","Base 2015=100","171.9"
"Residential Property Price Index","2021 February","Mid-East - houses","Base 2015=100","138.3"
"Residential Property Price Index","2021 February","Mid-West - houses","Base 2015=100","154.7"
"Residential Property Price Index","2021 February","South-East - houses","Base 2015=100","151.9"
"Residential Property Price Index","2021 February","South-West - houses","Base 2015=100","151.1"
"Residential Property Price Index","2021 March","National - all residential properties","Base 2015=100","139"
"Residential Property Price Index","2021 March","National - houses","Base 2015=100","139"
"Residential Property Price Index","2021 March","National - apartments","Base 2015=100","141.3"
"Residential Property Price Index","2021 March","Dublin - all residential properties","Base 2015=100","127.6"
"Residential Property Price Index","2021 March","Dublin - houses","Base 2015=100","127.4"
"Residential Property Price Index","2021 March","Dublin - apartments","Base 2015=100","130.2"
"Residential Property Price Index","2021 March","Dublin City - houses","Base 2015=100","127.7"
"Residential Property Price Index","2021 March","Dun Laoghaire-Rathdown - houses","Base 2015=100","124.6"
"Residential Property Price Index","2021 March","Fingal - houses","Base 2015=100","127"
"Residential Property Price Index","2021 March","South Dublin - houses","Base 2015=100","125.3"
"Residential Property Price Index","2021 March","National excluding Dublin - all residential properties","Base 2015=100","151.5"
"Residential Property Price Index","2021 March","National excluding Dublin - houses","Base 2015=100","150.1"
"Residential Property Price Index","2021 March","National excluding Dublin - apartments","Base 2015=100","170.2"
"Residential Property Price Index","2021 March","Border - houses","Base 2015=100","151.1"
"Residential Property Price Index","2021 March","Midland - houses","Base 2015=100","164.6"
"Residential Property Price Index","2021 March","West - houses","Base 2015=100","172.5"
"Residential Property Price Index","2021 March","Mid-East - houses","Base 2015=100","139.2"
"Residential Property Price Index","2021 March","Mid-West - houses","Base 2015=100","154.3"
"Residential Property Price Index","2021 March","South-East - houses","Base 2015=100","150.8"
"Residential Property Price Index","2021 March","South-West - houses","Base 2015=100","149.9"
"Residential Property Price Index","2021 April","National - all residential properties","Base 2015=100","140.2"
"Residential Property Price Index","2021 April","National - houses","Base 2015=100","140.2"
"Residential Property Price Index","2021 April","National - apartments","Base 2015=100","142.8"
"Residential Property Price Index","2021 April","Dublin - all residential properties","Base 2015=100","128.8"
"Residential Property Price Index","2021 April","Dublin - houses","Base 2015=100","128.7"
"Residential Property Price Index","2021 April","Dublin - apartments","Base 2015=100","131.1"
"Residential Property Price Index","2021 April","Dublin City - houses","Base 2015=100","129.1"
"Residential Property Price Index","2021 April","Dun Laoghaire-Rathdown - houses","Base 2015=100","126.5"
"Residential Property Price Index","2021 April","Fingal - houses","Base 2015=100","127.5"
"Residential Property Price Index","2021 April","South Dublin - houses","Base 2015=100","126.6"
"Residential Property Price Index","2021 April","National excluding Dublin - all residential properties","Base 2015=100","152.8"
"Residential Property Price Index","2021 April","National excluding Dublin - houses","Base 2015=100","151.2"
"Residential Property Price Index","2021 April","National excluding Dublin - apartments","Base 2015=100","173.8"
"Residential Property Price Index","2021 April","Border - houses","Base 2015=100","154.6"
"Residential Property Price Index","2021 April","Midland - houses","Base 2015=100","165.8"
"Residential Property Price Index","2021 April","West - houses","Base 2015=100","173.7"
"Residential Property Price Index","2021 April","Mid-East - houses","Base 2015=100","140.1"
"Residential Property Price Index","2021 April","Mid-West - houses","Base 2015=100","157.6"
"Residential Property Price Index","2021 April","South-East - houses","Base 2015=100","151"
"Residential Property Price Index","2021 April","South-West - houses","Base 2015=100","150.2"
"Residential Property Price Index","2021 May","National - all residential properties","Base 2015=100","141.3"
"Residential Property Price Index","2021 May","National - houses","Base 2015=100","141.2"
"Residential Property Price Index","2021 May","National - apartments","Base 2015=100","144.7"
"Residential Property Price Index","2021 May","Dublin - all residential properties","Base 2015=100","129.9"
"Residential Property Price Index","2021 May","Dublin - houses","Base 2015=100","129.8"
"Residential Property Price Index","2021 May","Dublin - apartments","Base 2015=100","132.1"
"Residential Property Price Index","2021 May","Dublin City - houses","Base 2015=100","129.5"
"Residential Property Price Index","2021 May","Dun Laoghaire-Rathdown - houses","Base 2015=100","128.2"
"Residential Property Price Index","2021 May","Fingal - houses","Base 2015=100","127.8"
"Residential Property Price Index","2021 May","South Dublin - houses","Base 2015=100","128.9"
"Residential Property Price Index","2021 May","National excluding Dublin - all residential properties","Base 2015=100","154"
"Residential Property Price Index","2021 May","National excluding Dublin - houses","Base 2015=100","152.2"
"Residential Property Price Index","2021 May","National excluding Dublin - apartments","Base 2015=100","178.3"
"Residential Property Price Index","2021 May","Border - houses","Base 2015=100","156.6"
"Residential Property Price Index","2021 May","Midland - houses","Base 2015=100","166.8"
"Residential Property Price Index","2021 May","West - houses","Base 2015=100","175.4"
"Residential Property Price Index","2021 May","Mid-East - houses","Base 2015=100","140.5"
"Residential Property Price Index","2021 May","Mid-West - houses","Base 2015=100","160.8"
"Residential Property Price Index","2021 May","South-East - houses","Base 2015=100","151.9"
"Residential Property Price Index","2021 May","South-West - houses","Base 2015=100","150.6"
"Residential Property Price Index","2021 June","National - all residential properties","Base 2015=100","143.4"
"Residential Property Price Index","2021 June","National - houses","Base 2015=100","143.2"
"Residential Property Price Index","2021 June","National - apartments","Base 2015=100","146.9"
"Residential Property Price Index","2021 June","Dublin - all residential properties","Base 2015=100","131.6"
"Residential Property Price Index","2021 June","Dublin - houses","Base 2015=100","131.3"
"Residential Property Price Index","2021 June","Dublin - apartments","Base 2015=100","134.6"
"Residential Property Price Index","2021 June","Dublin City - houses","Base 2015=100","131.1"
"Residential Property Price Index","2021 June","Dun Laoghaire-Rathdown - houses","Base 2015=100","130"
"Residential Property Price Index","2021 June","Fingal - houses","Base 2015=100","128.6"
"Residential Property Price Index","2021 June","South Dublin - houses","Base 2015=100","130.6"
"Residential Property Price Index","2021 June","National excluding Dublin - all residential properties","Base 2015=100","156.4"
"Residential Property Price Index","2021 June","National excluding Dublin - houses","Base 2015=100","154.7"
"Residential Property Price Index","2021 June","National excluding Dublin - apartments","Base 2015=100","179.2"
"Residential Property Price Index","2021 June","Border - houses","Base 2015=100","159.3"
"Residential Property Price Index","2021 June","Midland - houses","Base 2015=100","170.7"
"Residential Property Price Index","2021 June","West - houses","Base 2015=100","174.9"
"Residential Property Price Index","2021 June","Mid-East - houses","Base 2015=100","142.1"
"Residential Property Price Index","2021 June","Mid-West - houses","Base 2015=100","161.9"
"Residential Property Price Index","2021 June","South-East - houses","Base 2015=100","155.5"
"Residential Property Price Index","2021 June","South-West - houses","Base 2015=100","155.5"
"Residential Property Price Index","2021 July","National - all residential properties","Base 2015=100","145.8"
"Residential Property Price Index","2021 July","National - houses","Base 2015=100","145.7"
"Residential Property Price Index","2021 July","National - apartments","Base 2015=100","149.3"
"Residential Property Price Index","2021 July","Dublin - all residential properties","Base 2015=100","133.5"
"Residential Property Price Index","2021 July","Dublin - houses","Base 2015=100","133.2"
"Residential Property Price Index","2021 July","Dublin - apartments","Base 2015=100","136.9"
"Residential Property Price Index","2021 July","Dublin City - houses","Base 2015=100","132.8"
"Residential Property Price Index","2021 July","Dun Laoghaire-Rathdown - houses","Base 2015=100","131.8"
"Residential Property Price Index","2021 July","Fingal - houses","Base 2015=100","129.9"
"Residential Property Price Index","2021 July","South Dublin - houses","Base 2015=100","133.7"
"Residential Property Price Index","2021 July","National excluding Dublin - all residential properties","Base 2015=100","159.3"
"Residential Property Price Index","2021 July","National excluding Dublin - houses","Base 2015=100","157.6"
"Residential Property Price Index","2021 July","National excluding Dublin - apartments","Base 2015=100","182.1"
"Residential Property Price Index","2021 July","Border - houses","Base 2015=100","163.2"
"Residential Property Price Index","2021 July","Midland - houses","Base 2015=100","173.7"
"Residential Property Price Index","2021 July","West - houses","Base 2015=100","178.8"
"Residential Property Price Index","2021 July","Mid-East - houses","Base 2015=100","144.1"
"Residential Property Price Index","2021 July","Mid-West - houses","Base 2015=100","165.9"
"Residential Property Price Index","2021 July","South-East - houses","Base 2015=100","158.6"
"Residential Property Price Index","2021 July","South-West - houses","Base 2015=100","158.5"
"Residential Property Price Index","2021 August","National - all residential properties","Base 2015=100","149.1"
"Residential Property Price Index","2021 August","National - houses","Base 2015=100","149.1"
"Residential Property Price Index","2021 August","National - apartments","Base 2015=100","151.5"
"Residential Property Price Index","2021 August","Dublin - all residential properties","Base 2015=100","136.3"
"Residential Property Price Index","2021 August","Dublin - houses","Base 2015=100","136.1"
"Residential Property Price Index","2021 August","Dublin - apartments","Base 2015=100","139.2"
"Residential Property Price Index","2021 August","Dublin City - houses","Base 2015=100","135.5"
"Residential Property Price Index","2021 August","Dun Laoghaire-Rathdown - houses","Base 2015=100","134.7"
